question,ug_gp_graphs,ug_sparql,g-SPARQL
what was the title of the book charles darwin wrote?,"{'Semantic Parse': ' [title(3:s , 3:x), charle.arg0(7:e , 7:x), QUESTION(0:x), title.arg0(3:e , 3:x), title.nmod.of(3:e , 6:x), charles(7:s , 7:x), write.arg1(9:e , 8:m.darwin), book(6:s , 6:x), book.arg0(6:e , 6:x), what(0:s , 0:x), write.dep(9:e , 7:x), charle.arg1(7:e , 3:x), what.arg0(0:e , 0:x), write.arg2(9:e , 0:x)]\n', 'nodes': ['{0, what, what, PRON, null}\n', '{3, title, title, NOUN, null}\n', '{6, book, book, NOUN, null}\n', '{7, charles, charle, NOUN, null}\n', '{8, darwin, darwin, PROPN, null}\n', '{9, wrote, write, VERB, null}\n'], 'Edges': [['(7,3,7)', '(charle.arg1,charle.arg0):0.0\n'], ['(3,3,6)', '(title.arg0,title.nmod.of):0.0\n'], ['(9,8,7)', '(write.arg1,write.dep):0.0\n'], ['(9,0,8)', '(write.arg2,write.arg1):0.0\n'], ['(9,0,7)', '(write.arg2,write.dep):0.0\n']], 'Types': [['(6,6)', 'book:0.0\n'], ['(7,7)', 'charles:0.0\n'], ['(3,3)', 'title:0.0\n'], ['(0,0)', 'what:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {<darwin> <write> <charles> . ?x0 <write> <darwin> . ?x0 <write> <charles> . <title> <charle> <charles> . <title> <title> <book>},'SELECT DISTINCT ?x0  WHERE {<http://rdf.freebase.com/ns/m.0cbz9pl> <http://rdf.freebase.com/ns/m.0606t8d> <http://rdf.freebase.com/ns/m.0t_9ycw> . ?x0 <http://rdf.freebase.com/ns/m.0606t8d> <http://rdf.freebase.com/ns/m.0lyzr74> . <http://rdf.freebase.com/ns/m.0lkn66b> <http://rdf.freebase.com/ns/m.01xxxy2> <http://rdf.freebase.com/ns/m.0m1lh1j> . ?x0 <http://rdf.freebase.com/ns/m.05r7jms> <http://rdf.freebase.com/ns/m.0t_9ycw> . <http://rdf.freebase.com/ns/m.0nntzqt> <http://rdf.freebase.com/ns/m.0669m1s> <http://rdf.freebase.com/ns/m.0t_9ycw>}'
what was the book written by charles darwin?,"{'Semantic Parse': ' [charles(6:s , 7:m.darwin), QUESTION(0:x), book.arg0(3:e , 3:x), what.arg1(0:e , 3:x), write.arg1(4:e , 3:x), what(0:s , 0:x), book(3:s , 3:x), arg0(7:e , 7:m.darwin), what.arg0(0:e , 0:x), write.nmod.by(4:e , 7:m.darwin)]\n', 'nodes': ['{0, what, what, PRON, null}\n', '{3, book, book, NOUN, null}\n', '{4, written, write, VERB, null}\n', '{6, charles, charle, PROPN, null}\n', '{7, darwin, darwin, PROPN, null}\n'], 'Edges': [['(0,3,0)', '(what.arg1,what.arg0):0.0\n'], ['(4,3,7)', '(write.arg1,write.nmod.by):0.0\n']], 'Types': [['(3,3)', 'book:0.0\n'], ['(7,6)', 'charles:0.0\n'], ['(0,0)', 'what:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {<book> <write> <darwin> . <book> <arg1> ?x0},'SELECT DISTINCT ?x0  WHERE {<http://rdf.freebase.com/ns/m.0lkn66b> <http://rdf.freebase.com/ns/m.01xxxy2> <http://rdf.freebase.com/ns/m.0m1lh1j> . ?x0 <http://rdf.freebase.com/ns/m.05r7jms> <http://rdf.freebase.com/ns/m.0t_9ycw> . ?x0 <http://rdf.freebase.com/ns/m.0606t8d> <http://rdf.freebase.com/ns/m.0lyzr74> . <http://rdf.freebase.com/ns/m.0cbz9pl> <http://rdf.freebase.com/ns/m.0606t8d> <http://rdf.freebase.com/ns/m.0t_9ycw> . <http://rdf.freebase.com/ns/m.0nntzqt> <http://rdf.freebase.com/ns/m.0669m1s> <http://rdf.freebase.com/ns/m.0t_9ycw>}'
where did venus williams come from?,"{'Semantic Parse': ' [QUESTION(0:x), come.nmod(4:e , 0:x), arg0(3:e , 3:m.williams), where(0:s , 0:x), venus(2:s , 3:m.williams), come.arg1(4:e , 3:m.williams)]\n', 'nodes': ['{0, where, where, ADV, null}\n', '{2, venus, venus, PROPN, null}\n', '{3, williams, williams, PROPN, null}\n', '{4, come, come, VERB, null}\n'], 'Edges': [['(4,3,0)', '(come.arg1,come.nmod):0.0\n']], 'Types': [['(3,2)', 'venus:0.0\n'], ['(0,0)', 'where:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {<williams> <come> ?x0},'SELECT DISTINCT ?x0  WHERE {<http://rdf.freebase.com/ns/m.0skz9c0> <http://rdf.freebase.com/ns/m.07yct44> <http://rdf.freebase.com/ns/m.012_t0_v> . <http://rdf.freebase.com/ns/m.0m1lh1j> <es_no_uri> ?x0}'
who did vladimir lenin marry?,"{'Semantic Parse': ' [QUESTION(0:x), vladimir(2:s , 3:m.lenin), arg0(3:e , 3:m.lenin), who(0:s , 0:x), marry.arg1(4:e , 3:m.lenin), marry.arg2(4:e , 0:x)]\n', 'nodes': ['{0, who, who, PRON, null}\n', '{2, vladimir, vladimir, PROPN, null}\n', '{3, lenin, lenin, PROPN, null}\n', '{4, marry, marry, VERB, null}\n'], 'Edges': [['(4,0,3)', '(marry.arg2,marry.arg1):0.0\n']], 'Types': [['(3,2)', 'vladimir:0.0\n'], ['(0,0)', 'who:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {?x0 <marry> <lenin>},'SELECT DISTINCT ?x0  WHERE {<http://rdf.freebase.com/ns/m.0rd_jl_> <http://rdf.freebase.com/ns/m.02_z1jm> ?x0}'
where did charles darwin die?,"{'Semantic Parse': ' [QUESTION(0:x), where(0:s , 0:x), die.advmod(4:e , 0:x), die.arg1(4:e , 3:m.charles_darwin)]\n', 'nodes': ['{0, where, where, ADV, null}\n', '{3, darwin, darwin, PROPN, null}\n', '{4, die, die, VERB, null}\n'], 'Edges': [['(4,0,3)', '(die.advmod,die.arg1):0.0\n']], 'Types': [['(0,0)', 'where:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {?x0 <die> <darwin>},'SELECT DISTINCT ?x0  WHERE {?x0 <http://rdf.freebase.com/ns/m.075gztp> <http://rdf.freebase.com/ns/m.0lzh0p1>}'
where did charles darwin and his wife live?,"{'Semantic Parse': ' [QUESTION(0:x), his(5:s , 5:x), arg0(3:e , 3:m.charles_darwin), live.arg1(7:e , 6:x), wife.arg0(6:e , 6:x), live.arg1(7:e , 3:m.charles_darwin), where(0:s , 0:x), live.advmod(7:e , 0:x), wife.nmod(6:e , 5:x), wife(6:s , 6:x)]\n', 'nodes': ['{0, where, where, ADV, null}\n', '{3, darwin, darwin, PROPN, null}\n', '{5, his, he, PRON, null}\n', '{6, wife, wife, NOUN, null}\n', '{7, live, live, ADJ, null}\n'], 'Edges': [['(7,3,0)', '(live.arg1,live.advmod):0.0\n'], ['(7,6,0)', '(live.arg1,live.advmod):0.0\n'], ['(7,6,3)', '(live.arg1,live.arg1):0.0\n'], ['(6,6,5)', '(wife.arg0,wife.nmod):0.0\n']], 'Types': [['(5,5)', 'his:0.0\n'], ['(0,0)', 'where:0.0\n'], ['(6,6)', 'wife:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {<darwin> <live> ?x0 . <wife> <live> ?x0 . <wife> <wife> <his> . <wife> <live> <darwin>},'SELECT DISTINCT ?x0  WHERE {?x0 <http://rdf.freebase.com/ns/m.02h76sp> <http://rdf.freebase.com/ns/m.0cbz9pl>}'
what is the state flower of new mexico?,"{'Semantic Parse': ' [new(6:s , 7:m.mexico), QUESTION(0:x), flower(4:s , 4:x), what.arg1(0:e , 4:x), what(0:s , 0:x), state.flower(3:s , 4:x), flower.nmod.of(4:e , 7:m.mexico), flower.arg0(4:e , 4:x), what.arg0(0:e , 0:x), arg0(7:e , 7:m.mexico)]\n', 'nodes': ['{0, what, what, PRON, null}\n', '{3, state, state, NOUN, null}\n', '{4, flower, flower, NOUN, null}\n', '{6, new, new, PROPN, null}\n', '{7, mexico, mexico, PROPN, null}\n'], 'Edges': [['(4,7,4)', '(flower.nmod.of,flower.arg0):0.0\n'], ['(0,0,4)', '(what.arg0,what.arg1):0.0\n']], 'Types': [['(4,4)', 'flower:0.0\n'], ['(7,6)', 'new:0.0\n'], ['(4,3)', 'state.flower:0.0\n'], ['(0,0)', 'what:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {?x0 <arg0> <flower> . <mexico> <flower> <flower>},'SELECT DISTINCT ?x0  WHERE {<http://rdf.freebase.com/ns/m.0lx9shz> <http://rdf.freebase.com/ns/m.02h7dzs> ?x0 . <http://rdf.freebase.com/ns/m.0m9znjr> <http://rdf.freebase.com/ns/m.0p6j4d_> ?x0 . <http://rdf.freebase.com/ns/m.0m9znjr> <http://rdf.freebase.com/ns/m.02h7dzs> <http://rdf.freebase.com/ns/m.0lx9shz> . <http://rdf.freebase.com/ns/m.0m9znjr> <http://rdf.freebase.com/ns/m.025d77k> <http://rdf.freebase.com/ns/m.012jb41f>}'
where is burundi country?,"{'Semantic Parse': ' [QUESTION(0:x), country(3:s , 3:x), country.arg0(3:e , 3:x), country.advmod(3:e , 0:x), where(0:s , 0:x), burundi(2:s , 3:x)]\n', 'nodes': ['{0, where, where, ADV, null}\n', '{2, burundi, burundi, ADJ, null}\n', '{3, country, country, NOUN, null}\n'], 'Edges': [['(3,0,3)', '(country.advmod,country.arg0):0.0\n']], 'Types': [['(3,2)', 'burundi:0.0\n'], ['(3,3)', 'country:0.0\n'], ['(0,0)', 'where:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {?x0 <country> <country>},'SELECT DISTINCT ?x0  WHERE {?x0 <es_no_uri> <http://rdf.freebase.com/ns/m.0qh0kzb> . <http://rdf.freebase.com/ns/m.0j8ghj5> <http://rdf.freebase.com/ns/m.02sd68f> <http://rdf.freebase.com/ns/m.0qh0kzb>}'
where did robert downey jr go to jail?,"{'Semantic Parse': ' [jail(7:s , 7:x), jr(4:s , 3:m.robert_downey), QUESTION(0:x), go.advmod(5:e , 0:x), arg0(4:e , 3:m.robert_downey), go.arg1(5:e , 3:m.robert_downey), where(0:s , 0:x), jail.arg0(7:e , 7:x), go.nmod.to(5:e , 7:x)]\n', 'nodes': ['{0, where, where, ADV, null}\n', '{3, downey, downey, PROPN, null}\n', '{4, jr, jr, PROPN, null}\n', '{5, go, go, VERB, null}\n', '{7, jail, jail, NOUN, null}\n'], 'Edges': [['(5,0,7)', '(go.advmod,go.nmod.to):0.0\n'], ['(5,3,0)', '(go.arg1,go.advmod):0.0\n'], ['(5,3,7)', '(go.arg1,go.nmod.to):0.0\n']], 'Types': [['(7,7)', 'jail:0.0\n'], ['(3,4)', 'jr:0.0\n'], ['(0,0)', 'where:0.0\n']], 'Properties': [['0', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x0  WHERE {<downey> <go> ?x0 . <downey> <go> <jail> . ?x0 <go> <jail>},'SELECT DISTINCT ?x0  WHERE {?x0 <http://rdf.freebase.com/ns/m.048nb24> <http://rdf.freebase.com/ns/m.0mrxxq3>}'
what book did charles darwin wrote in 1859?,"{'Semantic Parse': ' [book(1:s , 1:x), arg0(7:e , 7:m.1859), what(0:s , 1:x), write.nmod.in(5:e , 7:m.1859), book.arg0(1:e , 1:x), write.arg1(5:e , 4:m.charles_darwin), write.arg2(5:e , 1:x), QUESTION(1:x)]\n', 'nodes': ['{0, what, what, DET, null}\n', '{1, book, book, NOUN, null}\n', '{4, darwin, darwin, PROPN, null}\n', '{5, wrote, write, VERB, null}\n', '{7, 1859, 1859, NUM, null}\n'], 'Edges': [['(5,1,4)', '(write.arg2,write.arg1):0.0\n'], ['(5,1,7)', '(write.arg2,write.nmod.in):0.0\n'], ['(5,7,4)', '(write.nmod.in,write.arg1):0.0\n']], 'Types': [['(1,1)', 'book:0.0\n'], ['(1,0)', 'what:0.0\n']], 'Properties': [['1', '[QUESTION]\n']], 'EventTypes': [], 'EventEventModifiers': []}",SELECT DISTINCT ?x1  WHERE {<1859> <write> <darwin> . ?x1 <write> <darwin> . ?x1 <write> <1859>},'SELECT DISTINCT ?x0  WHERE {<http://rdf.freebase.com/ns/m.04y8scm> <http://rdf.freebase.com/ns/m.01xr_3l> ?x0 . ?x0 <http://rdf.freebase.com/ns/m.01xr_3l> <http://rdf.freebase.com/ns/m.0dvgbyh> . <http://rdf.freebase.com/ns/m.04y8scm> <http://rdf.freebase.com/ns/m.01xr_3l> <http://rdf.freebase.com/ns/m.0dvgbyh>}'
