Q6	Which movies star both Liz Taylor and Richard Burton ?	Give the movies which features both  Liz Taylor and Richard Burton ?	Give me movies acted by both Liz Taylor and Richard Burton .	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Elizabeth_Taylor> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Burton> }
Q81	Give me English actors starring in Lovesick .	Which English actors starred in Lovesick .	Tell me English are actors featuring in Lovesick .	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lovesick_(1983_film)> dbo:starring ?uri . ?uri dbo:birthPlace ?city . ?city dbo:country <http://dbpedia.org/resource/United_Kingdom> }
Q92	When was Jack Wolfskin founded ?	In which year was Jack Wolfskin founded?	What is the founding year of Jack Wolfskin ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT xsd:date(?year) WHERE { res:Jack_Wolfskin dbo:foundingYear ?year }
Q40	How many people live in the capital of Australia ?	what is the population of Australia capital ?	What is the population of capital of Australia ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num }
Q33	What is the biggest stadium in Spain ?	What is the name of the biggest stadium in Spain ?	Name the biggest stadium in Spain ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Stadium ; dbo:location res:Spain ; dbo:seatingCapacity ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1
Q93	When did the Boston Tea Party take place ?	In which year did the Boston Tea Party happen?	Boston Tea Party happened on which date ?	SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boston_Tea_Party> <http://dbpedia.org/property/date> ?d }
Q36	Where is Sungkyunkwan University ?	Where Sungkyunkwan University is located ?	Sungkyunkwan University is loacated at which place?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?country WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country }
Q50	Who was married to president Chirac ?	What was the name of president Chirac's wife?	Whom Predident Chirac married to?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Jacques_Chirac dbo:spouse ?uri }
Q67	What form of government does Russia have ?	What is the form of government in Russia?	What type of government does Russia consist ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Russia dbo:governmentType ?uri }
Q89	Where is Fort Knox located ?	Where is the location of Fort Knox ?	Where is Fort Knox situated ?	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/ontology/location> ?uri. ?uri a <http://dbpedia.org/ontology/Place>. }
Q5	Give me all actors who were born in Paris after 1950 .	Give me all actors whose birthplace is Paris and are born post 1950 .	Give me the names of actors born after 1950 in Paris .	SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) }
